All Job Skills,Count,% All,Remote Job Skills,Count,% Remote,Non-Remote Job Skills,Count,% Non-Remote
ASP.Net,2,0.0%,C++ Software Engineer,1,0.1%,Backend,2,0.1%
Scala Developer,2,0.0%,AWS SAM,1,0.1%,Python Software Developer,2,0.1%
Chat,2,0.0%,Nodejs,1,0.1%,Spokesperson,2,0.1%
Video On Demand,2,0.0%,Automated API integration testing,1,0.1%,TFTP,2,0.1%
Engineering Computer Software,2,0.0%,Amazon Route 53,1,0.1%,Data Dictionary,2,0.1%
Global Marketing,2,0.0%,OFSAA,1,0.1%,Adobe Illustrator,2,0.1%
IBM Rational ClearCase,2,0.0%,P2P,1,0.1%,Component Interface,2,0.1%
Quality Improvement,2,0.0%,C PROGRAMMING,1,0.1%,Autogen,2,0.1%
Agile Coaching,2,0.0%,Forms),1,0.1%,MMC,2,0.1%
unit testing,2,0.0%,Microsoft SSAS,1,0.1%,Customer Communications,2,0.1%
XSL,2,0.0%,cloud engineering,1,0.1%,SQR,2,0.1%
Arena,2,0.0%,SR. DEVELOPER,1,0.1%,Foreign Exchange,2,0.1%
3D CAD,2,0.0%,JPL,1,0.1%,Video Codecs,2,0.1%
UI/UX Developer,2,0.0%,Tyler Technologies,1,0.1%,PQ,2,0.1%
Demonstration Skills,2,0.0%,Cloudflare,1,0.1%,RTSP,2,0.1%
Angular 7+,2,0.0%,SAP OCC APIs,1,0.1%,Murex,1,0.0%
Datadog,2,0.0%,Ceph,1,0.1%,HACK,1,0.0%
SDL,2,0.0%,Videoconferencing,1,0.1%,RPD,1,0.0%
Azure Service Bus,2,0.0%,Storage Architecture,1,0.1%,Certified Administrator,1,0.0%
Software Portfolio Management,2,0.0%,ARP4754,1,0.1%,ANSIBLE,1,0.0%
VMware ESXi,2,0.0%,DLI,1,0.1%,Sr. React Developer,1,0.0%
Springboot,2,0.0%,PROMETHEUS,1,0.1%,Video Engineering,1,0.0%
Mobile Payments,2,0.0%,Antennas,1,0.1%,Aperture,1,0.0%
S-PLUS,2,0.0%,RICEF Objects (Reports,1,0.1%,Gentran Integration Suite,1,0.0%
Oracle Database Administration,2,0.0%,.,1,0.1%,SOC SOPs,1,0.0%
ICD-10,2,0.0%,Cobol,1,0.1%,PCB design,1,0.0%
Redshift,2,0.0%,GRE,1,0.1%,Relational Algebra,1,0.0%
Kaltura,2,0.0%,SAP ABAP Developer,1,0.1%,SQL and No-SQL,1,0.0%
Market Risk,2,0.0%,Spark,1,0.1%,android,1,0.0%
Solution Architect,2,0.0%,Birdseye,1,0.1%,supply chain,1,0.0%
HBSS,2,0.0%,Storage Management,1,0.1%,CHATGPT,1,0.0%
Interactive Voice Response,2,0.0%,REST API platform using APIGEE,1,0.1%,automated testing,1,0.0%
DRP,2,0.0%,STS,1,0.1%,API development,1,0.0%
Metasploit,2,0.0%,Apache ZooKeeper,1,0.1%,Grant Management,1,0.0%
Materials Management,2,0.0%,Oracle PPM (Project Portfolio Management),1,0.1%,eMASS,1,0.0%
node.js,2,0.0%,kafka,1,0.1%,CD technologies,1,0.0%
css,2,0.0%,System Integrations,1,0.1%,ISPF,1,0.0%
Test Estimation,2,0.0%,Test-Driven Development,1,0.1%,TrustZone,1,0.0%
Typing,2,0.0%,agentic AI,1,0.1%,cron,1,0.0%
Toad,2,0.0%,(Healthcare or Health),1,0.1%,Amazon Simple Queue Service (SQS),1,0.0%
git,2,0.0%,Database Performance Tuning,1,0.1%,PROBLEM SOLVING,1,0.0%
Junit,2,0.0%,VB,1,0.1%,5S,1,0.0%
SAR,2,0.0%,Dialog Manager,1,0.1%,confluent kafka,1,0.0%
Hive,2,0.0%,FULL STACK DEVELOPER,1,0.1%,VOD,1,0.0%
ETRM,2,0.0%,Senior Cloud Developer,1,0.1%,ESP,1,0.0%
Absence Management,2,0.0%,Hyland OnBase,1,0.1%,Vulnerability,1,0.0%
Cursor,2,0.0%,ITIL / ITSM,1,0.1%,Jason,1,0.0%
Trend Analysis,2,0.0%,MVC,1,0.1%,Green Hills Integrity,1,0.0%
Scenario Testing,2,0.0%,Developer Express,1,0.1%,TELECOM,1,0.0%
Desktop Publishing,2,0.0%,Lightning Web Components (LWCs),1,0.1%,GME,1,0.0%
Remote Sensing,2,0.0%,AWS S3,1,0.1%,UI/UX Developer,1,0.0%
FHIR,2,0.0%,Workflow builder,1,0.1%,TCM,1,0.0%
Oracle EBS,2,0.0%,Computer hardware,1,0.1%,DVB,1,0.0%
SOS,2,0.0%,ITSM,1,0.1%,LES,1,0.0%
Cost Control,2,0.0%,DirectX,1,0.1%,firmware engineer,1,0.0%
Information Design,2,0.0%,certified FastTrack,1,0.1%,Testing (Software),1,0.0%
CA-7,2,0.0%,Oracle VBCS Developer,1,0.1%,Alternative Investments,1,0.0%
STS,2,0.0%,DV,1,0.1%,Communications,1,0.0%
Kafka/MQ,2,0.0%,Sales Operations,1,0.1%,TIBCO Spotfire,1,0.0%
IBM Mainframe Utility Programs,2,0.0%,Apex classes/triggers,1,0.1%,Network Optimization,1,0.0%
GIT,2,0.0%,sql,1,0.1%,Access Gateways,1,0.0%
PerfMon,2,0.0%,generative AI,1,0.1%,ROS2,1,0.0%
documentation,2,0.0%,ACH,1,0.1%,KATELLO,1,0.0%
Public Services,2,0.0%,4GL,1,0.1%,Technical Lead Software Engineer,1,0.0%
Hardware Management,2,0.0%,PROPERTY / CASUALTY,1,0.1%,JCL- COBOL- DB2- CICS - VSAM,1,0.0%
Laserfiche,2,0.0%,firewall,1,0.1%,Continuum Mechanics,1,0.0%
SEI,2,0.0%,attention to detail,1,0.1%,Triggers,1,0.0%
Quartz,2,0.0%,SDS,1,0.1%,FTIR,1,0.0%
LSF,2,0.0%,EntireX,1,0.1%,Sybase IQ,1,0.0%
Production Management,2,0.0%,Sr. Backed App developer. (AI Tools Intergration / Configuration),1,0.1%,Vertex,1,0.0%
Apache Tiles,2,0.0%,Smartphones,1,0.1%,CamundamSoft skills,1,0.0%
Web Architecture,2,0.0%,SpecFlow,1,0.1%,HEALTH CARE,1,0.0%
MIG,2,0.0%,jms,1,0.1%,Fixed Assets,1,0.0%
Data Retention,2,0.0%,Virtual Reality (VR),1,0.1%,Kendo UI,1,0.0%
ICD-10-CM,2,0.0%,NgRx,1,0.1%,Cross-browser Compatibility Testing,1,0.0%
Microsoft Windows Vista,2,0.0%,LXC,1,0.1%,Web Service QA,1,0.0%
DVR,2,0.0%,coding,1,0.1%,MiFID,1,0.0%
C PROGRAMMING,2,0.0%,Rocket U2,1,0.1%,DoD Security Clearance,1,0.0%
OQ,2,0.0%,Angular v15 and above.,1,0.1%,Voice and Non-Voice SMS,1,0.0%
leadership,2,0.0%,JAXB,1,0.1%,MERN Developer,1,0.0%
Triage,2,0.0%,AEM Guides,1,0.1%,Endevor,1,0.0%
CoPilot,2,0.0%,Rapid Application Development,1,0.1%,SQL Server Management Studio (SSMS),1,0.0%
Apache Accumulo,2,0.0%,WCF,1,0.1%,Hercules,1,0.0%
Healthcare,2,0.0%,MOQ,1,0.1%,SharePoint,1,0.0%
software development,2,0.0%,Ultra Low Latency Programming,1,0.1%,device integration,1,0.0%
Data Transfer Process,2,0.0%,Development,1,0.1%,AS/400 Control Language,1,0.0%
MCUs,2,0.0%,BEHAVIOR DRIVEN DEVELOPMENT,1,0.1%,backend Engineer,1,0.0%
COBRA,2,0.0%,Sprint Planning,1,0.1%,P&C,1,0.0%
Information Security Governance,2,0.0%,SharePoint object model,1,0.1%,ENOVIA,1,0.0%
RHCSA,2,0.0%,Order Entry,1,0.1%,Axure,1,0.0%
Sales Management,2,0.0%,Employee Self-service,1,0.1%,SIEMs,1,0.0%
Smart Order Routing,2,0.0%,VB6,1,0.1%,Jira Alignment,1,0.0%
Juniper,2,0.0%,.netcore,1,0.1%,LSA,1,0.0%
Integration,2,0.0%,Process Mapping,1,0.1%,InstallAnywhere,1,0.0%
Platform Developer,2,0.0%,Haskell,1,0.1%,TMS,1,0.0%
Nosql,2,0.0%,SHOPIFY,1,0.1%,Cloudera Impala,1,0.0%
XAML,2,0.0%,Board Support Package (BSP),1,0.1%,Arista,1,0.0%
ACH,2,0.0%,Real Time Systems,1,0.1%,Angular),1,0.0%
Computer-aided Software Engineering,2,0.0%,shell scriptingExperience,1,0.1%,Final Cut Pro,1,0.0%
SAP SD,2,0.0%,Databases,1,0.1%,Java backend Developer,1,0.0%
NAT,2,0.0%,SAFe,1,0.1%,HARDWARE TEST ENGINEER,1,0.0%
Developer Express,2,0.0%,Bank Integrations,1,0.1%,Kinesiology,1,0.0%
CAD,2,0.0%,Google Tag Manager (GTM),1,0.1%,Multimeter,1,0.0%
PostScript,2,0.0%,OpenCL,1,0.1%,Web Parts,1,0.0%
SAFe,2,0.0%,laserfiche,1,0.1%,User Interface,1,0.0%
Logical Data Model,2,0.0%,Copado or SFDX/Jenkins,1,0.1%,DXL,1,0.0%
Printing,2,0.0%,Go,1,0.1%,Multiple Locations - Irving TX - Hopkins MN - Brookfield WI - Chicago IL - Atlanta GA Onsite,1,0.0%
Online Advertising,2,0.0%,Backend Software Engineer (ML/Python),1,0.1%,Database Mirroring,1,0.0%
TailwindCSS,2,0.0%,requirements analysis,1,0.1%,enterprise-grade applications,1,0.0%
Pricing Strategy,2,0.0%,Salesforce Health Cloud,1,0.1%,Node,1,0.0%
Architecture,2,0.0%,PSQL,1,0.1%,GDPR,1,0.0%
MERN stack,2,0.0%,SharePoint Developer,1,0.1%,Problem solving,1,0.0%
Software Development Life Cycle,2,0.0%,CBOS,1,0.1%,SERVICENOW DEVELOPER,1,0.0%
NCR,2,0.0%,RPG Free,1,0.1%,Voicemail,1,0.0%
Sales Operations,2,0.0%,Hyper-V,1,0.1%,OmniStudio,1,0.0%
Golang Developer,2,0.0%,Focus Groups,1,0.1%,Audit processing,1,0.0%
ITSM,2,0.0%,Chicago Recruiting,1,0.1%,Refurbishment,1,0.0%
Creo,2,0.0%,EDP,1,0.1%,.NET 8,1,0.0%
Deployment,2,0.0%,Symfony,1,0.1%,Oracle EBS,1,0.0%
Managed Print Services,2,0.0%,Backend Engineer,1,0.1%,Break/Fix,1,0.0%
VoIP,2,0.0%,SIM,1,0.1%,OS image interactions,1,0.0%
VDI,2,0.0%,MTA,1,0.1%,HPNA,1,0.0%
Cloud Testing,2,0.0%,Talend Data Mapper,1,0.1%,LynxOS,1,0.0%
Slowly Changing Dimensions,2,0.0%,508,1,0.1%,AML,1,0.0%
VB6,2,0.0%,PROPERTY,1,0.1%,HEALTHPLAN,1,0.0%
HFT,2,0.0%,UG,1,0.1%,PAHub,1,0.0%
Snowflake,2,0.0%,Back End Engineer,1,0.1%,AOSP,1,0.0%
Nodejs,2,0.0%,Backend development,1,0.1%,Common Lisp,1,0.0%
Content Development,2,0.0%,Juniper,1,0.1%,Test Automation,1,0.0%
MOQ,2,0.0%,IAC,1,0.1%,New Relic (SaaS),1,0.0%
communication skills,2,0.0%,ArcObjects,1,0.1%,smart card reader,1,0.0%
TDM,2,0.0%,OSPF,1,0.1%,cloud platforms,1,0.0%
Senior Software Engineer,2,0.0%,BDD,1,0.1%,Automated testing,1,0.0%
APL,2,0.0%,LATAM,1,0.1%,C++ or .NET with WPF,1,0.0%
AS3,2,0.0%,Automate and Power BI,1,0.1%,NHibernate,1,0.0%
Taxonomy,2,0.0%,JAVA/J2EE,1,0.1%,DMZ,1,0.0%
Oracle Spatial and Graph,2,0.0%,autonomous,1,0.1%,system software engineering,1,0.0%
DMX,2,0.0%,.Net 6,1,0.1%,backend,1,0.0%
Pay Per Click Management,2,0.0%,hl7,1,0.1%,Communication protocols,1,0.0%
ArcObjects,2,0.0%,M365 Copilot,1,0.1%,streamline workload debugging,1,0.0%
Databases,2,0.0%,Organizational Structure,1,0.1%,Shopware,1,0.0%
FSCM,2,0.0%,Pl/Sql Developer,1,0.1%,ci/cd,1,0.0%
GSA,2,0.0%,Information Security Governance,1,0.1%,Cybersecurity,1,0.0%
EDP,2,0.0%,BUSINESS REQUIREMENTS,1,0.1%,NEW PRODUCT LAUNCH,1,0.0%
CAPM,2,0.0%,Trunk-Based,1,0.1%,XFS,1,0.0%
Oracle Designer,2,0.0%,Operating Expenses,1,0.1%,SECURITY,1,0.0%
Redmine,2,0.0%,Microsoft CRM,1,0.1%,SalesLogix,1,0.0%
Pharmaceutical Industry,2,0.0%,Web Desktop,1,0.1%,legacy code,1,0.0%
Senior Trading Systems Engineer,2,0.0%,SAP CO,1,0.1%,OSHA 30,1,0.0%
react,2,0.0%,Oculus Rift,1,0.1%,RDB,1,0.0%
Health Informatics,2,0.0%,CASUALTY,1,0.1%,UI Developer,1,0.0%
GWT,2,0.0%,System Migration,1,0.1%,Big Query,1,0.0%
Rexx,2,0.0%,Mobile Application Software,1,0.1%,Trac,1,0.0%
ML,2,0.0%,WCS,1,0.1%,MIRO,1,0.0%
software testing,2,0.0%,Senior .NET Developer - Architect resilient systems at,1,0.1%,tHTML,1,0.0%
Application Security,2,0.0%,Software Developer,1,0.1%,RPG Developer,1,0.0%
Crucible,2,0.0%,Full Stack .Net Developer with Azure and AI,1,0.1%,Business Process Improvement,1,0.0%
Lead Developer,2,0.0%,root cause analysis,1,0.1%,V-Model,1,0.0%
DOS,2,0.0%,mapping,1,0.1%,quantitative risk,1,0.0%
Signal Integrity,2,0.0%,Amazon EFS,1,0.1%,Function Generator,1,0.0%
Web Hosting,2,0.0%,business processes,1,0.1%,matplotlib,1,0.0%
Information Security Management,2,0.0%,Chemical Engineering,1,0.1%,IT SERVICE MANAGEMENT,1,0.0%
Biophysics,2,0.0%,JSP Servlets,1,0.1%,Agile Methodologies,1,0.0%
Oracle ERP,2,0.0%,Use case,1,0.1%,MS D365 DEVELOPER,1,0.0%
ABAP,2,0.0%,Physical Security,1,0.1%,Java Lead,1,0.0%
DRAM,2,0.0%,scala,1,0.1%,J2ME,1,0.0%
IDT,2,0.0%,PeopleTools,1,0.1%,Senior / Staff Software Engineer,1,0.0%
Chemical Engineering,2,0.0%,Electrical,1,0.1%,STaaS,1,0.0%
Presales,2,0.0%,Network security,1,0.1%,ETL QA,1,0.0%
Biometrics,2,0.0%,Lambda,1,0.1%,Senior Software Engineer - Trading Surveillance,1,0.0%
mq,2,0.0%,Backend Connectivity,1,0.1%,Trend Analysis,1,0.0%
Azure / AWS,2,0.0%,Software Analysis,1,0.1%,Software integration,1,0.0%
Business Processes,2,0.0%,Python Developer,1,0.1%,RESTful API's,1,0.0%
CICD,2,0.0%,XAML,1,0.1%,Microsoft Windows Server 2008,1,0.0%
DEVOPS,2,0.0%,DATA ENGINEER,1,0.1%,SCSI,1,0.0%
extensible stylesheet language,2,0.0%,CoPilot,1,0.1%,AdminStudio,1,0.0%
Photogrammetry,2,0.0%,D3565 CE,1,0.1%,RACF,1,0.0%
Administrative Support,2,0.0%,SAP ABAP Programming,1,0.1%,Import Wizard,1,0.0%
Maintenance Management,2,0.0%,Cloud Management,1,0.1%,DIS,1,0.0%
Easytrieve,2,0.0%,SAP FIORI APPS,1,0.1%,code review,1,0.0%
Customer Communications,2,0.0%,Switch Abstraction Interface (SAI),1,0.1%,CKA,1,0.0%
Salesforce Developer,2,0.0%,VMware Infrastructure,1,0.1%,CYPRESS,1,0.0%
Prometheus/Grafana,2,0.0%,Retail Commerce,1,0.1%,PyQt,1,0.0%
Near Field Communication,2,0.0%,Adobe Campaign Developer,1,0.1%,VISUAL STUDIO,1,0.0%
AI tools,2,0.0%,SAP Best Practices,1,0.1%,AI Developer,1,0.0%
Best Practices,2,0.0%,EFT,1,0.1%,Offshore,1,0.0%
Mainframe developer,2,0.0%,TCL,1,0.1%,JavaFX,1,0.0%
Jest,2,0.0%,Application development,1,0.1%,INTEGRATION,1,0.0%
Fortinet,2,0.0%,Partner Relationship Management,1,0.1%,AWS database,1,0.0%
Senior C++ Software Engineer,2,0.0%,AEM platform,1,0.1%,Insurance software,1,0.0%
selenium,2,0.0%,Salesforce solutions,1,0.1%,Vertica,1,0.0%
PL/SQL Developer,2,0.0%,Dodd-Frank,1,0.1%,PROMPT ENGINEERING,1,0.0%
Veeva,2,0.0%,EPIC,1,0.1%,Lisp,1,0.0%
Next JS,2,0.0%,PROBLEM-SOLVING,1,0.1%,Functions,1,0.0%
MDS,2,0.0%,Senior Mobile Developer (Android),1,0.1%,cloud native architecture,1,0.0%
asp.net,2,0.0%,Master degree,1,0.1%,Departmental Management,1,0.0%
Microsoft Deployment Toolkit,2,0.0%,hybrid quantum-classical workflows,1,0.1%,Programmer,1,0.0%
Object Pascal,2,0.0%,RTR,1,0.1%,SYSTEMS ENGINEER,1,0.0%
Bootstrap.js,2,0.0%,FABRIC,1,0.1%,NAND,1,0.0%
VIO,2,0.0%,HPCC,1,0.1%,CSS2,1,0.0%
Doxygen,2,0.0%,SAP Accelerator,1,0.1%,Modular Code,1,0.0%
Computer Forensics,2,0.0%,SPI,1,0.1%,CSA,1,0.0%
Socket.io,2,0.0%,Business Architecture,1,0.1%,SMS,1,0.0%
Loss Prevention,2,0.0%,Audio Engineering,1,0.1%,Cisco IOS,1,0.0%
Needs Analysis,2,0.0%,ServiceNow Certified Application Developer,1,0.1%,Python services,1,0.0%
Symitar,2,0.0%,3GPP,1,0.1%,swagge,1,0.0%
Microsoft BIDS,2,0.0%,cloud platforms,1,0.1%,Java / Scala,1,0.0%
Tier 2,2,0.0%,cloud developer,1,0.1%,"""REST API""",1,0.0%
Asana,2,0.0%,"""SSIS Developer""",1,0.1%,Guidewire Developer,1,0.0%
iOS,2,0.0%,Microsoft 365 integration,1,0.1%,REACTJS,1,0.0%
APIs,2,0.0%,Sitecore,1,0.1%,Visua Studio and git,1,0.0%
Counterintelligence,2,0.0%,Digital Design,1,0.1%,Control Flow Analysis,1,0.0%
Allegro,2,0.0%,odyssey,1,0.1%,IDOL,1,0.0%
Coordination Skills,2,0.0%,Alteryx,1,0.1%,Black box,1,0.0%
MSI,2,0.0%,TRANSLATE,1,0.1%,JaCoCo,1,0.0%
Minitab,2,0.0%,FPGA,1,0.1%,Amazon Elastic Compute Cloud,1,0.0%
typescript,2,0.0%,Java Backend Services Developer,1,0.1%,NDA,1,0.0%
Middleware Development,2,0.0%,Enhancement Framework,1,0.1%,Px4,1,0.0%
DO-178B,2,0.0%,Peoplesoft Financials Developer (FSCM),1,0.1%,Metadata,1,0.0%
DEVELOPER,2,0.0%,USB,1,0.1%,functional modeling,1,0.0%
User-centered Design,2,0.0%,GAMP,1,0.1%,Secure Boot,1,0.0%
SSIS,2,0.0%,Healthcare,1,0.1%,Platform Developer I,1,0.0%
W3C,2,0.0%,prompt engineering,1,0.1%,Mavro,1,0.0%
Sr Developer,2,0.0%,Solution Architect,1,0.1%,visualizations,1,0.0%
Online Marketing,2,0.0%,DTCC,1,0.1%,Talend,1,0.0%
Mobile Security,2,0.0%,SAP Custom Code Remediation,1,0.1%,SED,1,0.0%
Licensing Management,2,0.0%,software engineer,1,0.1%,Full-Stack,1,0.0%
VLDB,2,0.0%,SMT,1,0.1%,Technology Assessment,1,0.0%
Retail Commerce,2,0.0%,ITAR,1,0.1%,GD&T,1,0.0%
Oracle PL/SQL,2,0.0%,UNREAL,1,0.1%,AMAZON WEB SERVICES,1,0.0%
IBS,2,0.0%,DATADOG,1,0.1%,Python Programmer,1,0.0%
NLB,2,0.0%,Zephyr,1,0.1%,Maple,1,0.0%
Adobe Target,2,0.0%,NuGet,1,0.1%,Master Control,1,0.0%
IRAD,2,0.0%,OData Services,1,0.1%,Microscopy,1,0.0%
Full Stack Engineer,2,0.0%,CSS3 / SCSS,1,0.1%,prototype,1,0.0%
Interface QA,2,0.0%,Cocoa Touch,1,0.1%,professional experience in Windows kernel development with a focus on driver and filter driver design.,1,0.0%
IEEE 802.15,2,0.0%,LlamaIndex,1,0.1%,Testing procedures,1,0.0%
HCI,2,0.0%,Warehouse Control,1,0.1%,GDAL,1,0.0%
Dojo,2,0.0%,lambda development,1,0.1%,Mixed-signal Integrated Circuit,1,0.0%
Relationship Management,2,0.0%,BASE24,1,0.1%,Product Owner,1,0.0%
4G,2,0.0%,Information Technology Jobs,1,0.1%,Computer architecture,1,0.0%
Retail Banking,2,0.0%,NCR Edge,1,0.1%,Principal Quantitative Risk Python Software Engineer,1,0.0%
Lasers,2,0.0%,End-user Training,1,0.1%,Benefits Management,1,0.0%
Amazon Neptune,2,0.0%,VCL,1,0.1%,SAP GTS,1,0.0%
engineer,2,0.0%,Automatic Teller Machine,1,0.1%,Windows servers,1,0.0%
Power Tools,2,0.0%,inductive automation,1,0.1%,Tactical Data Links,1,0.0%
POP,2,0.0%,SAP FIORI DEVELOPMENT,1,0.1%,aerospace,1,0.0%
Java Software Engineer,2,0.0%,azure,1,0.1%,SLM,1,0.0%
Speech Recognition,2,0.0%,J2E E,1,0.1%,Genesys Framework,1,0.0%
JavaScript (Programming Language),2,0.0%,Software Development Management,1,0.1%,Enterprise solutions,1,0.0%
Internal Auditing,2,0.0%,IBM Informix,1,0.1%,Lead Java Developer,1,0.0%
Serial Communication,2,0.0%,BADIs,1,0.1%,Embedded C/C++,1,0.0%
erp,2,0.0%,justice,1,0.1%,Behavior-Driven Development (BDD),1,0.0%
Training Delivery,2,0.0%,FRM,1,0.1%,Software Prototyping,1,0.0%
Buy-Side,2,0.0%,SAP BI,1,0.1%,AGIS,1,0.0%
RAID,2,0.0%,ASIC,1,0.1%,Organizational Leadership,1,0.0%
GenAI,2,0.0%,SCRIPTING,1,0.1%,java script,1,0.0%
Policy renewals,2,0.0%,Oracle ERP Cloud,1,0.1%,LogRhythm,1,0.0%
SAP EWM,2,0.0%,Network+,1,0.1%,BACK-END JAVA DEVELOPER,1,0.0%
Process Analysis,2,0.0%,Software Bills of Materials,1,0.1%,NOSQL,1,0.0%
Adobe Campaign,2,0.0%,Technical Writing Skills,1,0.1%,AMI,1,0.0%
Ladder Logic,2,0.0%,Mendix Web Application Developer,1,0.1%,DBA,1,0.0%
GKE,2,0.0%,UKG Boomi Integration Lead Developer,1,0.1%,Principal Quantitative Risk Modeling Developer,1,0.0%
JNI,2,0.0%,FC,1,0.1%,TCA,1,0.0%
Matrix Management,2,0.0%,Podcast,1,0.1%,Terraform IaC,1,0.0%
Wonderware,2,0.0%,Surveying,1,0.1%,SPSS,1,0.0%
Fraud Management,2,0.0%,IT Project Management,1,0.1%,ZEPHYR,1,0.0%
Fast API,2,0.0%,Software development,1,0.1%,Python API,1,0.0%
Nagios,2,0.0%,Lead Back End Engineer,1,0.1%,DTC,1,0.0%
LlamaIndex,2,0.0%,Software Engineer- Oracle CC&amp;B / C2M / CSM,1,0.1%,Mainframes,1,0.0%
Due Diligence,2,0.0%,Mobile Banking,1,0.1%,Server Message Block,1,0.0%
IOS Developer,2,0.0%,Computational Science,1,0.1%,FM,1,0.0%
Meraki,2,0.0%,HCI,1,0.1%,cloud transformational,1,0.0%
Revenue Recognition,2,0.0%,Trend Analysis,1,0.1%,DTD,1,0.0%
SCRIPTING,2,0.0%,Chordiant,1,0.1%,Educational Technology,1,0.0%
Biostatistics,2,0.0%,ISIS,1,0.1%,IIS,1,0.0%
TAO,2,0.0%,NEDSS,1,0.1%,Interfaces Management,1,0.0%
Batch File,2,0.0%,Oracle Cloud Technical Consultant,1,0.1%,Amazon Connect Developer,1,0.0%
Banking Software,2,0.0%,ALV Reports,1,0.1%,OpenShift 	DevOps automation tools  Azure DevOps 	CI/CD tools  Jenkins 	OS  Linux RHEL,1,0.0%
Capistrano,2,0.0%,Due Diligence,1,0.1%,DATA WRANGLING,1,0.0%
TMS,2,0.0%,Micro Focus,1,0.1%,hardware infrastructure,1,0.0%
MDT,2,0.0%,Charlotte,1,0.1%,vtol,1,0.0%
automation,2,0.0%,Postgres,1,0.1%,derivatives,1,0.0%
IBM Mainframe,2,0.0%,GenAI,1,0.1%,Mid-Level Software Engineer,1,0.0%
JAX-RS,2,0.0%,Problem Analysis,1,0.1%,HCI,1,0.0%
nesC,2,0.0%,X86,1,0.1%,Complex Sales,1,0.0%
Aeronautics,2,0.0%,Automated Data Exchange,1,0.1%,Pretty Good Privacy,1,0.0%
Social Networks,2,0.0%,SAP GRC,1,0.1%,IDLE,1,0.0%
FileNet,2,0.0%,DMV,1,0.1%,CKAD,1,0.0%
.NET Framework 4.5+,2,0.0%,DEVOPS ENGINEER,1,0.1%,CHATBOT,1,0.0%
Contingency Plan,2,0.0%,Regulatory Affairs,1,0.1%,docker,1,0.0%
Java Virtual Machine (JVM),2,0.0%,Assembly Language,1,0.1%,Native,1,0.0%
Sr. Software Engineer (Video Streaming),2,0.0%,Containerization,1,0.1%,CIRB ratings,1,0.0%
Video Codecs,2,0.0%,Design Analysis,1,0.1%,TestRail,1,0.0%
ISSAP,2,0.0%,Serverless Architecture,1,0.1%,DEBUGGING,1,0.0%
Welding,2,0.0%,Jira,1,0.1%,Kofax Capture/Transformation,1,0.0%
OPC,2,0.0%,Unix Administration,1,0.1%,middleware,1,0.0%
Structured Software,2,0.0%,Remote Direct Memory Access,1,0.1%,Angualr,1,0.0%
Content Strategy,2,0.0%,PSL,1,0.1%,SuccessFactors,1,0.0%
UX,2,0.0%,Brainstorming,1,0.1%,LBM,1,0.0%
Aircraft Maintenance,2,0.0%,FSD,1,0.1%,hardware interfaces,1,0.0%
QML,2,0.0%,Knowledge of software development processes and technologies (e.g.,1,0.1%,Rest Assured,1,0.0%
REACT,2,0.0%,Named-Entity Recognition (NER),1,0.1%,DNN,1,0.0%
Lightning,2,0.0%,Functional Management,1,0.1%,Application Programming Interfaces (API),1,0.0%
CI/ CD,2,0.0%,FULLSTACK ENGINEER,1,0.1%,API automation using Java,1,0.0%
DATA SCIENCE,2,0.0%,HCL DX,1,0.1%,Reinsurance,1,0.0%
Credit Derivatives,2,0.0%,Uploading,1,0.1%,GAAP,1,0.0%
Success Driven Person,2,0.0%,Lead Developer,1,0.1%,Language Development,1,0.0%
Expediting,2,0.0%,POSTGRESQL,1,0.1%,Firefox,1,0.0%
Spinnaker,2,0.0%,SystemVerilog,1,0.1%,OM,1,0.0%
databases,2,0.0%,Engineering Management,1,0.1%,Zephyr OS / RTOS / Embedded Linux,1,0.0%
Stress Analysis,2,0.0%,css,1,0.1%,PubSub Queue,1,0.0%
Computational Fluid Dynamics,2,0.0%,JSF,1,0.1%,Senior Pega Developer,1,0.0%
Adobe Illustrator,2,0.0%,Oracle Fusion Architecture,1,0.1%,VirtualBox,1,0.0%
Application Developer,2,0.0%,DAM,1,0.1%,NYCIRB Guidelines,1,0.0%
DMM,2,0.0%,team leader,1,0.1%,cloud solutions,1,0.0%
C#.NET,2,0.0%,plugin,1,0.1%,TELADOC,1,0.0%
Core Java,2,0.0%,ECL Developer,1,0.1%,Power BI Developer,1,0.0%
Senior Quantitative Researcher PhD Preferred,2,0.0%,WEB SERVICES,1,0.1%,integration techniques.,1,0.0%
SQL*Loader,2,0.0%,Custom App Development (Oracle Cloud),1,0.1%,SOC,1,0.0%
Lead Generation,2,0.0%,Portal Java Developer,1,0.1%,OFDM,1,0.0%
Calypso,2,0.0%,People Skills,1,0.1%,GStreamer,1,0.0%
3PL,2,0.0%,Salesforce.Com,1,0.1%,software engineering,1,0.0%
ADABAS,2,0.0%,XML Publisher,1,0.1%,Infrastructure as code (IaC),1,0.0%
Qlik Sense,2,0.0%,ApacheBench,1,0.1%,IBM i,1,0.0%
WCF Data Services,2,0.0%,SharePoint Designer,1,0.1%,Adobe Campaign,1,0.0%
automated testing methodologies,2,0.0%,Media Planning,1,0.1%,React Bootstrap,1,0.0%
Gorilla Mux,2,0.0%,programming languages,1,0.1%,Andriod,1,0.0%
Skype,2,0.0%,Enterprise Service Bus,1,0.1%,Payment Gateways,1,0.0%
